gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2836599450	StillImage	image/jpeg	https://observation.org/photos/15587221.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836599450	StillImage	image/jpeg	https://observation.org/photos/15587224.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836599450	StillImage	image/jpeg	https://observation.org/photos/15587223.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836599450	StillImage	image/jpeg	https://observation.org/photos/15587222.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836599203	StillImage	image/jpeg	https://observation.org/photos/12770919.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836595355	StillImage	image/jpeg	https://observation.org/photos/11480012.jpg							Jurgen Couckuyt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jurgen Couckuyt
2836595312	StillImage	image/jpeg	https://observation.org/photos/11274084.jpg							Roeland De Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Roeland De Wilde
2836592863	StillImage	image/jpeg	https://observation.org/photos/14909608.jpg							Michael Bakker Paiva			http://creativecommons.org/licenses/by-nc-nd/4.0/	Michael Bakker Paiva
2836591568	StillImage	image/jpeg	https://observation.org/photos/17104254.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2836574179	StillImage	image/jpeg	https://observation.org/photos/16774184.jpg							Julien Preud'homme			http://creativecommons.org/licenses/by-nc/4.0/	Julien Preud'homme
2836573992	StillImage	image/jpeg	https://observation.org/photos/16160826.jpg							Nico de Vries			All rights reserved	Nico de Vries
2836572806	StillImage	image/jpeg	https://observation.org/photos/14588186.jpg							Jasper Zoeter			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jasper Zoeter
2836569292	StillImage	image/jpeg	https://observation.org/photos/12770590.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836569292	StillImage	image/jpeg	https://observation.org/photos/12770592.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836567268	StillImage	image/jpeg	https://observation.org/photos/16499800.jpg							Julien Preud'homme			http://creativecommons.org/licenses/by-nc/4.0/	Julien Preud'homme
2836567255	StillImage	image/jpeg	https://observation.org/photos/16499574.jpg							Julien Preud'homme			http://creativecommons.org/licenses/by-nc/4.0/	Julien Preud'homme
2836567219	StillImage	image/jpeg	https://observation.org/photos/16405376.jpg							Sylvain Mahieu			http://creativecommons.org/licenses/by-nc-nd/4.0/	Sylvain Mahieu
2836565025	StillImage	image/jpeg	https://observation.org/photos/14907946.jpg							Michael Bakker Paiva			http://creativecommons.org/licenses/by-nc-nd/4.0/	Michael Bakker Paiva
2836563359	StillImage	image/jpeg	https://observation.org/photos/16801480.jpg							Jeroen Breidenbach			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jeroen Breidenbach
2836556226	StillImage	image/jpeg	https://observation.org/photos/14060823.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836556223	StillImage	image/jpeg	https://observation.org/photos/14058101.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836555692	StillImage	image/jpeg	https://observation.org/photos/13371883.jpg							Wilma van Holten			All rights reserved	Wilma van Holten
2836554420	StillImage	image/jpeg	https://observation.org/photos/24594560.jpg							Wout Willems			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wout Willems
2836553695	StillImage	image/jpeg	https://observation.org/photos/14514588.jpg							Pieter Blondé			All rights reserved	Pieter Blondé
2836551268	StillImage	image/jpeg	https://observation.org/photos/12848818.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836551268	StillImage	image/jpeg	https://observation.org/photos/12848817.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836551181	StillImage	image/jpeg	https://observation.org/photos/12766936.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836551177	StillImage	image/jpeg	https://observation.org/photos/12764904.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836551177	StillImage	image/jpeg	https://observation.org/photos/12764905.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836547230	StillImage	image/jpeg	https://observation.org/photos/12840638.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836545920	StillImage	image/jpeg	https://observation.org/photos/13371934.jpg							Wilma van Holten			All rights reserved	Wilma van Holten
2836545920	StillImage	image/jpeg	https://observation.org/photos/13371936.jpg							Wilma van Holten			All rights reserved	Wilma van Holten
2836543334	StillImage	image/jpeg	https://observation.org/photos/12770837.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836542251	StillImage	image/jpeg	https://observation.org/photos/12764825.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836539369	StillImage	image/jpeg	https://observation.org/photos/15587367.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836537821	StillImage	image/jpeg	https://observation.org/photos/14588188.jpg							Jasper Zoeter			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jasper Zoeter
2836532971	StillImage	image/jpeg	https://observation.org/photos/13389958.jpg							Wilma van Holten			All rights reserved	Wilma van Holten
2836532971	StillImage	image/jpeg	https://observation.org/photos/13389949.jpg							Wilma van Holten			All rights reserved	Wilma van Holten
2836532468	StillImage	image/jpeg	https://observation.org/photos/12849172.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836532468	StillImage	image/jpeg	https://observation.org/photos/12849170.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836532468	StillImage	image/jpeg	https://observation.org/photos/12849171.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836531121	StillImage	image/jpeg	https://observation.org/photos/12532609.jpg							Tim Adriaens			http://creativecommons.org/publicdomain/zero/1.0/	Tim Adriaens
2836531121	StillImage	image/jpeg	https://observation.org/photos/12532610.jpg							Tim Adriaens			http://creativecommons.org/publicdomain/zero/1.0/	Tim Adriaens
2836531121	StillImage	image/jpeg	https://observation.org/photos/12532608.jpg							Tim Adriaens			http://creativecommons.org/publicdomain/zero/1.0/	Tim Adriaens
2836527723	StillImage	image/jpeg	https://observation.org/photos/11053400.jpg							Pieter Baalbergen			http://creativecommons.org/licenses/by/4.0/	Pieter Baalbergen
2836527411	StillImage	image/jpeg	https://observation.org/photos/11817990.jpg							Matthijs Bootsma			http://creativecommons.org/licenses/by-nc-nd/4.0/	Matthijs Bootsma
2836526282	StillImage	image/jpeg	https://observation.org/photos/12840105.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836521891	StillImage	image/jpeg	https://observation.org/photos/14514558.jpg							Pieter Blondé			All rights reserved	Pieter Blondé
2836521576	StillImage	image/jpeg	https://observation.org/photos/14082196.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836521576	StillImage	image/jpeg	https://observation.org/photos/14082195.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836513695	StillImage	image/jpeg	https://observation.org/photos/13470014.jpg							kees rosenbrand			http://creativecommons.org/licenses/by-nc-sa/4.0/	kees rosenbrand
2836509572	StillImage	image/jpeg	https://observation.org/photos/14437987.jpg							Arie Kolders			http://creativecommons.org/licenses/by-nc-nd/4.0/	Arie Kolders
2836509335	StillImage	image/jpeg	https://observation.org/photos/14082203.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836509335	StillImage	image/jpeg	https://observation.org/photos/14082202.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836508913	StillImage	image/jpeg	https://observation.org/photos/14908032.jpg							Michael Bakker Paiva			http://creativecommons.org/licenses/by-nc-nd/4.0/	Michael Bakker Paiva
2836508620	StillImage	image/jpeg	https://observation.org/photos/14514539.jpg							Pieter Blondé			All rights reserved	Pieter Blondé
2836503402	StillImage	image/jpeg	https://observation.org/photos/20550146.jpg							Erik ETIENNE			http://creativecommons.org/licenses/by-nc-nd/4.0/	Erik ETIENNE
2836502188	StillImage	image/jpeg	https://observation.org/photos/12850003.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836502182	StillImage	image/jpeg	https://observation.org/photos/12842722.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836502182	StillImage	image/jpeg	https://observation.org/photos/12842718.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836502182	StillImage	image/jpeg	https://observation.org/photos/12842719.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836502182	StillImage	image/jpeg	https://observation.org/photos/12842720.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836502182	StillImage	image/jpeg	https://observation.org/photos/12842721.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836502107	StillImage	image/jpeg	https://observation.org/photos/12759876.jpg							Gert Jan Versteeg			http://creativecommons.org/licenses/by-nc-nd/4.0/	Gert Jan Versteeg
2836495090	StillImage	image/jpeg	https://observation.org/photos/11603098.jpg							Jurgen Couckuyt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jurgen Couckuyt
2836495090	StillImage	image/jpeg	https://observation.org/photos/11603099.jpg							Jurgen Couckuyt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jurgen Couckuyt
2836495061	StillImage	image/jpeg	https://observation.org/photos/11479740.jpg							Jurgen Couckuyt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jurgen Couckuyt
2836495060	StillImage	image/jpeg	https://observation.org/photos/11481393.jpg							Jurgen Couckuyt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jurgen Couckuyt
2836494273	StillImage	image/jpeg	https://observation.org/photos/12765990.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836489112	StillImage	image/jpeg	https://observation.org/photos/11540267.jpg							Jurgen Couckuyt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jurgen Couckuyt
2836487710	StillImage	image/jpeg	https://observation.org/photos/16998762.jpg							Marcel Rekers			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marcel Rekers
2836485316	StillImage	image/jpeg	https://observation.org/photos/14007629.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836483573	StillImage	image/jpeg	https://observation.org/photos/11905717.jpg							Erik ETIENNE			http://creativecommons.org/licenses/by-nc-nd/4.0/	Erik ETIENNE
2836480540	StillImage	image/jpeg	https://observation.org/photos/15587227.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836479327	StillImage	image/jpeg	https://observation.org/photos/17536528.jpg							Nico de Vries			All rights reserved	Nico de Vries
2836476082	StillImage	image/jpeg	https://observation.org/photos/11481486.jpg							Jurgen Couckuyt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jurgen Couckuyt
2836472848	StillImage	image/jpeg	https://observation.org/photos/14514536.jpg							Pieter Blondé			All rights reserved	Pieter Blondé
2836471001	StillImage	image/jpeg	https://observation.org/photos/10920217.jpg							Jos Hoekerswever			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jos Hoekerswever
2836471001	StillImage	image/jpeg	https://observation.org/photos/10920216.jpg							Jos Hoekerswever			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jos Hoekerswever
2836471001	StillImage	image/jpeg	https://observation.org/photos/10920218.jpg							Jos Hoekerswever			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jos Hoekerswever
2836465386	StillImage	image/jpeg	https://observation.org/photos/14145657.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836465386	StillImage	image/jpeg	https://observation.org/photos/14145658.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836465386	StillImage	image/jpeg	https://observation.org/photos/14145656.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836465377	StillImage	image/jpeg	https://observation.org/photos/14145256.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
2836465377	StillImage	image/jpeg	https://observation.org/photos/14145255.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
